timestamp	run_id	param_changed	metric_before	metric_after	delta	status	dsr	top5_mda	params_json	parent_run_id
2026-03-25T22:51:46.000000+00:00	3f43168b	standalone	0.0000	0.9056	+0.0000	BASELINE	0.9988			
2026-03-26T22:07:43.000000+00:00	optimizer_result	standalone	0.0000	0.9408	+0.0000	BASELINE	0.0000			
2026-03-26T08:53:10.000000+00:00	blend_base	baseline	0.0000	0.7386	+0.0000	BASELINE	0.9990			
2026-03-26T21:00:03.000000+00:00	aggressive_ml	standalone	0.0000	0.9848	+0.0000	BASELINE	0.0000			
2026-03-26T19:05:13.000000+00:00	exp_wider_barriers	tp_pct,sl_pct	0.7386	0.7277	-0.0109	discard	0.9985			blend_base
2026-03-26T20:28:51.000000+00:00	exp_more_positions	max_positions,top_n_candidates	0.7386	0.6818	-0.0568	discard	0.9970			blend_base
2026-03-26T22:43:32.090070+00:00	b00ec4b4	tp_pct: 10.0 -> 9.5832420983526	0.9408	0.9236	-0.0172	discard	0.9723		{"start_date": "2018-01-01", "end_date": "2025-12-31", "train_window_months": 12, "test_window_months": 3, "embargo_days": 5, "holding_days": 90, "mr_holding_days": 15, "tp_pct": 9.5832420983526, "sl_pct": 10.0, "frac_diff_d": 0.4, "starting_capital": 100000.0, "max_positions": 20, "top_n_candidates": 50, "strategy": "triple_barrier", "n_estimators": 200, "max_depth": 4, "min_samples_leaf": 20, "learning_rate": 0.1, "target_vol": 0.15940713439780313}	b00ec4b4
2026-03-26T23:01:39.874223+00:00	b00ec4b4	fm_weight: ? -> 0.5671266746083616	0.9408	0.9408	+0.0000	discard	0.7001		{"start_date": "2018-01-01", "end_date": "2025-12-31", "train_window_months": 12, "test_window_months": 3, "embargo_days": 5, "holding_days": 90, "mr_holding_days": 15, "tp_pct": 10.0, "sl_pct": 10.0, "frac_diff_d": 0.4, "starting_capital": 100000.0, "max_positions": 20, "top_n_candidates": 50, "strategy": "triple_barrier", "n_estimators": 200, "max_depth": 4, "min_samples_leaf": 20, "learning_rate": 0.1, "target_vol": 0.15940713439780313, "fm_weight": 0.5671266746083616}	b00ec4b4
2026-03-26T23:17:28.839598+00:00	b00ec4b4	top_n_candidates: 50 -> 44	0.9408	0.9231	-0.0176	discard	0.9791		{"start_date": "2018-01-01", "end_date": "2025-12-31", "train_window_months": 12, "test_window_months": 3, "embargo_days": 5, "holding_days": 90, "mr_holding_days": 15, "tp_pct": 10.0, "sl_pct": 10.0, "frac_diff_d": 0.4, "starting_capital": 100000.0, "max_positions": 20, "top_n_candidates": 44, "strategy": "triple_barrier", "n_estimators": 200, "max_depth": 4, "min_samples_leaf": 20, "learning_rate": 0.1, "target_vol": 0.15940713439780313}	b00ec4b4
2026-03-26T23:35:17.783700+00:00	b00ec4b4	tb_weight: ? -> 0.44137694123708865	0.9408	0.9408	+0.0000	discard	0.4109		{"start_date": "2018-01-01", "end_date": "2025-12-31", "train_window_months": 12, "test_window_months": 3, "embargo_days": 5, "holding_days": 90, "mr_holding_days": 15, "tp_pct": 10.0, "sl_pct": 10.0, "frac_diff_d": 0.4, "starting_capital": 100000.0, "max_positions": 20, "top_n_candidates": 50, "strategy": "triple_barrier", "n_estimators": 200, "max_depth": 4, "min_samples_leaf": 20, "learning_rate": 0.1, "target_vol": 0.15940713439780313, "tb_weight": 0.44137694123708865}	b00ec4b4
